Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sampler End Date	Arrival date	Simplified_date	Sample_Group	Legacy_samples	Ct_N1	Mean	Breadth	Read_count	Bad_quality	Comments	Mean_galaxy	Breadth_galaxy	Read_count_galaxy
B318	6X	Washington	Walla Walla	WallaWalla	City of Walla Walla	2022-03-14	2021-03-15	2022-03-16		Batch8		30.847						2971.41	96.6157	714949
B184	6X	Washington	Walla Walla	WallaWalla	WWTP	2021-11-22	2021-11-23	2021-11-24		Batch5		32.425	1668.3	99.5987	395918			1500.9	96.5856	363558
3499	14X	Arizona	Tempe	TP05	TP05	2022-02-28	2022-03-01	2022-03-01		Batch8		31.993						1518.74	96.5321	362444
2368	13X	Arizona	Tempe	TP04	TP04	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		32.685	3948.03	98.8162	940066			3838.02	96.4686	927364
B2	2X	Washington	DesMoines	DesMoines	MidwaySewerDistrict	2021-07-19	2021-07-20	2021-07-21	21-07	Batch1		31.327	28458.5	99.5452	6914282			25347.4	96.4385	6135857
B166	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-11-08	2021-11-08	2021-11-10		Batch5		28.725	5513.41	99.6154	1332658			4907.85	96.4084	1200943
B268	32X	Oregon	Gresham	Gresham	Gresham WWTP	2022-01-31	2022-02-01	2022-02-02		Batch7		27.747						3739.87	96.4084	895240
2568	13X	Arizona	Tempe	TP04	TP04	2021-08-30	2021-08-31	2021-08-31	21-08	Batch3		31.354	7602.59	99.5853	1787929			6404.95	96.4077	
B169	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-11-08	2021-11-09	2021-11-10		Batch5		31.135	1864.99	99.495	452256			1619.83	96.3582	402004
2921	24X	Arizona	Tempe	TP07	Downtown/TP07	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		30.153	1349.57	99.6154	321657			1166.39	96.1944	283060
3351	18X	Arizona	Tempe	StLukes	StLukes	2022-01-31	2022-02-01	2022-02-01		Batch7		31.78						1821.7	96.1877	437938
B321	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-03-14	2021-03-15	2022-03-16		Batch8		32.38						3593.74	96.1776	901123
2922	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-11-08	2021-11-09	2021-11-09	21-11	Batch5		29.898	1387.41	99.602	331084			1198.12	96.1141	289454
BD7	8X	New Jersey	Hoboken	NHSA AdamsSt.Hoboken	NHSA Adams St. Hoboken	2021-12-28	2021-12-29	2021-01-04		Batch7		27.816						3197.43	96.0974	791562
B188	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-11-22	2021-11-23	2021-11-24		Batch5		29.914	7570.49	99.6154	1812577			6174.81	96.0372	1475319
B331	7X	Washington	Spokane	Spokane	Spokane County Regional WRF	2022-03-14	2021-03-15	2022-03-17		Batch8		32.123						962.023	96.0305	238414
B138	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		28.419	2512.14	99.6154	598040			2276.64	95.9904	544975
B303	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2022-02-28	2022-03-01	2022-03-01		Batch8		32.671						1614.54	95.9736	384751
3427	24X	Arizona	Tempe	TP07	Downtown/TP07	2022-02-14	2022-02-15	2022-02-15	22-02	Batch8		31.733						500.702	95.9703	119453
B130	29X	Kentucky	Louisville	Lousville	Site 1852	2021-10-25	2021-10-26	2021-10-26	21-10	Batch4		30.312	2638.96	99.5987	634008			2364.24	95.9436	570640
B144	35X	Washington	Sequim	Sequim Water Reclamation Facility	Sequim WRF	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		30.131	483.43	98.4918	114889			465.766	95.9135	117195
2640	13X	Arizona	Tempe	TP04	TP04	2021-09-13	2021-09-14	2021-09-14	21-09	Batch3		31.855	2576.04	99.3847	603713			2350.43	95.8633	549271
BD16	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-01-02	2022-01-03	2021-01-04		Batch7		28.814						3062.02	95.7563	721836
B15	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-08-02	2021-08-03	2021-08-04	21-08	Batch2		30.011	1138.33	99.6221	269233			993.981	95.7529	236798
B172	26X	Kentucky	Louisville	Lousville	Site 1913	2021-11-21	2021-11-22	2021-11-23		Batch5		31.502	4141.09	99.6121	989192			3676.95	95.7496	886666
2372	17X	Arizona	Guadalupe	Guadalupe	Guadalupe	2021-07-22	2021-07-23	2021-07-23	21-07	Batch1		32.952	2978.5	99.5151	704801			2609.17	95.7462	621371
B309	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2022-02-28	2022-02-28	2022-03-02		Batch8		31.709						1587.11	95.7161	383618
3203	19X	Arizona	Mesa	ME01	ME01	2022-01-03	2022-01-04	2022-01-04		Batch6		28.353						2940.76	95.7095	691326
